advantages,availability,brand,breadcrumbs,description,files,images,name,price,properties,rating,sku,video_id
"      STIHL ElastoStart В результате давления сжатия при запуске двухтактных двигателей возникают толчкообразные силы, нагружающие мышцы и суставы. Пусковое устройство ElastoStart заметно уменьшает эти вредные воздействия. Специальный демпфирующий элемент в ручке пускового устройства попеременно то принимает на себя, то отдает энергию соответственно процессу сжатия. Таким образом, запуск происходит равномерно, без толчков. (см. иллюстрацию)       Антивибрационная система STIHL Антивибрационная система используется в инструментах для ухода за зелёными насаждениями. Резиновые буферы уменьшают перенос вредных вибраций, создаваемых двигателем и вращающимся режущим инструментом. Поэтому рукоятки имеют крайне низкий уровень вибрации. Это делает работу удобной и неутомительной (см. иллюстрацию: кусторез).       Декомпрессионный клапан Декомпрессионный клапан - компонент системы легкого запуска. При запуске двигателя он сбрасывает часть давления сжатия в цилиндре. В результате требуемое усилие тяги на пусковом тросе заметно снижается.       Компенсатор Компенсатор STIHL - регулирующий орган в карбюраторе - предотвращает перенасыщение смеси при загрязнении воздушного фильтра. Таким образом, в течение длительного времени мощность остается постоянной. Фильтр требует очистки, когда забито 80 % его поверхности. Это также позволяет долго работать без перерыва.       Многофункциональная рукоятка Все элементы управления двигателем встроены в одну рукоятку. Управление становится проще и безопаснее (см. иллюстрацию).       Наплечный ремень/Система переноски Мягкие наплечные ремни STIHL облегчают работу, особенно длительную. Они дают большую свободу движения и обеспечивают надёжность при эксплуатации изделия. Плечевой ремень входит в серийную комплектацию изделий STIHL. За консультацией обращайтесь к дилеру.       Регулировка рукоятки без вспомогательного инструмента Эргономичный руль косы легко регулируется Т-образным винтом без дополнительных инструментов (см. иллюстрацию: кусторез).       Эргономичная двухручная рукоятка Двухручная рукоятка - эргономичный руль косы. Он обеспечивает естественность движения косы и легко регулируется Т-образным винтом. У мотокос и кусторезов двухручная рукоятка просто необходима при частом кошении травы на больших участках.       Ручной топливный насос С помощью ручного топливного насоса можно вручную, нажатием пальца подкачать топливо в карбюратор. Это позволяет сократить количество пусковых рывков после длительного перерыва в эксплуатации.       Защитные очки Для Вашей безопасности в стандартную комплектацию входят защитные очки. Они хорошо обдуваются и имеют широкую боковую защиту (см. иллюстрацию).      ",yes,Stihl,"Каталог техники STIHL,Триммеры для травы,Бензиновые",Очень мощный кусторез с пильным диском для удаления сучковатых кустарников и тонких деревьев. Эффективен при первичном прореживании. А в комбинации с соответствующим режущим инструментом также эффективно применяется для удаления свалявшейся травы или для сложной расчистки.,https://techno-angel.ru/uploads/items/file/fs_300_350_400_450_480_3_3.pdf,"https://techno-angel.ru/uploads/catalog/image/source_17_2.jpg,https://techno-angel.ru/uploads/gallery/image/source_11_35.jpg,https://techno-angel.ru/uploads/gallery/image/source_12_34.jpg,https://techno-angel.ru/uploads/gallery/image/source_13_34.jpg,https://techno-angel.ru/uploads/gallery/image/source_14_32.jpg,https://techno-angel.ru/uploads/gallery/image/source_15_25.jpg",Триммер бензиновый STIHL FS 450 K,45990,"[{'Наличие в магазинах': 'Щукинская ', 'Тип': 'Профессиональная ', 'Двигатель': '2-х тактный ', 'Мощность': '2.1 кВт', 'Объем двигателя': '44.3 см3', 'Штанга': 'Прямая ', 'Разъемный вал': 'нет ', 'Режущий инструмент': 'Пильное полотно ', 'Рукоятка': 'U-образная ', 'Ремень': 'Наплечный ', 'Общая длина': '1.64 м.', 'Привод': 'Жесткий вал ', 'Емкость топливного бака': '0.67 л.', 'Вес': '8.1 кг.', 'Артикул': '41282000161'}]",5.00,0001536,RjaGwn8ZJb4
"      Полуавтоматическая система натяжения ремня После отворачивания зажимных винтов натяжение клинового ремня устанавливается автоматически под действием пружины. Этим достигается качественная передача мощности при небольшом износе.       Антивибрационная система STIHL Буферные элементы предотвращают передачу вибрации двигателя на руки. Это экономит силы при ручной обрезке.       Декомпрессионный клапан Декомпрессионный клапан при запуске двигателя выпускает часть сжатой смеси из цилиндра. В результате требуемое усилие тяги на пусковом тросе заметно снижается. Оператору становится легче работать, и вся система пуска менее интенсивно изнашивается.       Долговечный воздушный фильтр Долговечный воздушный фильтр с циклонной предварительной очисткой уже на первом этапе фильтрует 80 % частиц пыли, содержащихся во всасываемом воздухе. В отличие от традиционных систем пыль не собирается в пенном фильтре, а сепарируется и выбрасывается в окружающий воздух. Таким образом, чистка пенного фильтра не требуется.       Компенсатор Компенсатор STIHL - регулирующий орган в карбюраторе - предотвращает перенасыщение смеси при загрязнении воздушного фильтра. Таким образом, в течение длительного времени мощность остается постоянной. Фильтр требует очистки, когда забито 80 % его поверхности. Это позволяет долго работать без перерыва.       Двигатель 2-MIX STIHL При продувке цилиндров двигателя между сгоревшей смесью в камере сгорания и свежей смесью в картере образуется воздушная прослойка, не содержащая топлива. Эта прослойка уменьшает потери топлива при газообмене и, соответственно, нагрузку на человека и окружающую среду.       Эргономичная форма рукоятки Современный эргономичный дизайн предлагает оптимальные позиции для удержания инструмента. Круговая рукоятка обеспечивает высокий уровень комфорта при работе в любом положении.      Устанавливается опционально:       STIHL ElastoStart В результате давления сжатия при запуске двухтактных двигателей возникают толчкообразные силы, нагружающие мышцы и суставы. Пусковое устройство ElastoStart заметно уменьшает эти вредные воздействия. Специальный демпфирующий элемент в пусковой ручке расширяется соответственно силе тяги, и таким образом запуск происходит равномерно, без толчков.       Направляющая тележка С помощью комбинации отрезной машины STIHL и направляющей тележки можно быстро, чисто и точно выполнять работы по ремонту дорог. Поскольку инструмент можно транспортировать и с монтируемой направляющей тележкой, то экономичное использование гарантируется даже при частой перевозке с места на место (см. иллюстрацию).     ",not,Stihl,"Каталог техники STIHL,Бензорезы,Абразивно-отрезные устройства",,https://techno-angel.ru/uploads/items/file/stihl_ts_410_420.pdf,"https://techno-angel.ru/uploads/catalog/image/source_1_400.jpg,https://techno-angel.ru/uploads/gallery/image/source_2_139.jpg,https://techno-angel.ru/uploads/gallery/image/source_11_62.jpg,https://techno-angel.ru/uploads/gallery/image/source_12_62.jpg,https://techno-angel.ru/uploads/gallery/image/source_13_61.jpg,https://techno-angel.ru/uploads/gallery/image/source_14_55.jpg,https://techno-angel.ru/uploads/gallery/image/source_15_50.jpg,https://techno-angel.ru/uploads/gallery/image/source_9_58.jpg",Бензорез STIHL TS 420,55990,"[{'Наличие в магазинах': 'Щукинская ', 'Мощность': '3.2 кВт', 'Рабочий объем': '66.7 см3', 'Максимальная глубина резания': '125 \xadмм.', 'Диаметр отрезного шлифовального круга': '350 мм.', 'Вес': '9.6 кг.', 'Артикул': '42380112810'}]",4.00,0001954,FLyKHDKX-5I
,yes,Stihl,"Каталог техники STIHL,Триммеры для травы,Аксессуары,Головки",,,https://techno-angel.ru/uploads/catalog/image/source_nodjy.jpg,Набор ножей PolyCut 2-2 (8 штук),105,[{'Артикул': '40080071000'}],5.00,00022703,
,yes,Stihl,"Каталог техники STIHL,Триммеры для травы,Аксессуары,Ножи и диски","Stihl GSB 230-2, режущий диск для травы - из стали, с 2 режущими кромками. ",,https://techno-angel.ru/uploads/catalog/image/source_1_96.jpg,Нож STIHL 2 зуб. 230 мм,600,"[{'Наличие в магазинах': 'Щукинская ', 'Режущие кромки': '2 ', 'Применение': 'жесткая сорная трава ', 'Совместимость': 'FS 55, FS 80/87, FS 90, FS 100, FS 130, FS 250, FR 350, FR 130 T, FR 450/480 ', 'Артикул': '40017133805'}]",5.00,000670,
,yes,Stihl,"Каталог техники STIHL,Триммеры для травы,Аксессуары,Ремни и подвеска","Ремень Stihl для FS38, FS45, FSE60, FSE71, FSE81 ",,https://techno-angel.ru/uploads/catalog/image/source_1_110.jpg,"Ремень STIHL для FS38, FS45, FSE",200,"[{'Наличие в магазинах': 'Щукинская ', 'Артикул': '41307109000\t\t'}]",4.00,000689,
,yes,Stihl,"Каталог техники STIHL,Триммеры для травы,Аксессуары,Лески",,,"https://techno-angel.ru/uploads/catalog/image/source_789_3.jpg,https://techno-angel.ru/uploads/gallery/image/source_stihlcf3pro345_3.jpg",Леска триммерная STIHL Carbon 3.0 мм х 45 м,1020,[{'Артикул': '00009304305'}],4.00,00022233,
,yes,Stihl,"Каталог техники STIHL,Триммеры для травы,Аксессуары,Лески",,,"https://techno-angel.ru/uploads/catalog/image/source_dsp_1.jpg,https://techno-angel.ru/uploads/gallery/image/source_9bf9968ba66fcd5847b7f3153c7e28c1_4.jpg",Леска триммерная STIHL 4.0 x 28 м для DuroCut 40-4,840,[{'Артикул': '00009303607'}],5.00,00018982,
,yes,Stihl,"Каталог техники STIHL,Триммеры для травы,Аксессуары,Лески",,,"https://techno-angel.ru/uploads/catalog/image/source_14_6.jpg,https://techno-angel.ru/uploads/gallery/image/source_9bf9968ba66fcd5847b7f3153c7e28c1_5.jpg",Леска триммерная STIHL 4.0 x 30 м бесшумная для DuroCut 40-4,740,[{'Артикул': '00009303708'}],4.00,00023078,
,yes,Stihl,"Каталог техники STIHL,Триммеры для травы,Аксессуары,Лески","В нашем интернет-магазине легко прибрести леску для триммера Stihl 00009303344 3 мм х 60 м без лишних переплат. Предлагаем товары оригинального производства, в качестве которых не придется сомневаться.",,https://techno-angel.ru/uploads/catalog/image/source_15_3.jpg,Леска для триммера STIHL 00009303344 3 мм х 60 м,710,"[{'Наличие в магазинах': 'Щукинская ', 'Артикул': '00009303344'}]",4.00,00022242,
,yes,Stihl,"Каталог техники STIHL,Триммеры для травы,Аксессуары,Лески",,,"https://techno-angel.ru/uploads/catalog/image/source_bbb1_2.jpg,https://techno-angel.ru/uploads/gallery/image/source_fe2b637de76201cb7b3ae67142449174_2.jpg","Леска триммерная STIHL пятиугольного сечения 2,7 мм х 80 м",710,[{'Артикул': '00009303343'}],4.00,00022241,
